analysis_layer	predictor_representation	antigen_target	predictor_feature	functional_outcome	feature_pair	pair_maximum_floor_severity	floor_sensitive_pair	primary_participants	primary_spearman_rho	primary_p_value	primary_q_value	recall_participants	recall_spearman_rho	recall_p_value	recall_q_value	rho_difference_recall_minus_primary	fisher_z_difference	standard_error	z_statistic	p_value	context_pattern	bh_q_value	fdr_significant
predictor_function	bpv_calibrated_predictor	HPV18	IgG1	ADCP	IgG1__ADCP	none	False	20	0.5278195488721804	0.0167591268829289	0.0765977008892514	60	0.516421228118922	2.402173520021445e-05	7.206520560064337e-05	-0.011398320753258417	-0.015670740706158703	0.27634650180685755	-0.05670685390876127	0.9547787141738561	weaker_positive_coupling_in_recall	0.9547787141738561	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG3	ADCP	IgG3__ADCP	low	False	20	0.1428571428571428	0.5479501508336087	0.6575401810003304	60	0.0749096971380939	0.5694632904266782	0.6833559485120139	-0.0679474457190489	-0.068790747771847	0.27634650180685755	-0.24892932359218292	0.8034154521604984	weaker_positive_coupling_in_recall	0.9547787141738561	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR2A	ADCP	FcgR2A__ADCP	moderate	True	20	0.0842105263157894	0.7241036435108112	0.7241036435108112	60	-0.0526257293692692	0.6896434291966582	0.6896434291966582	-0.1368362556850586	-0.13708482679132272	0.27634650180685755	-0.49606137908390546	0.6198511065322444	weaker_positive_coupling_in_recall	0.9297766597983667	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR2B	ADCP	FcgR2B__ADCP	high	True	20	0.3593984962406014	0.1196325063290389	0.1794487594935584	60	0.1139761044734648	0.3858796331525765	0.5788194497288649	-0.2454223917671366	-0.26172148221531244	0.27634650180685755	-0.9470772400015154	0.3435994214935214	weaker_positive_coupling_in_recall	0.7878455647952551	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR3A	ADCP	FcgR3A__ADCP	high	True	20	0.4977443609022556	0.0255325669630837	0.0765977008892514	60	0.3010836343428731	0.0194052896997789	0.0388105793995579	-0.1966607265593825	-0.23559229500878015	0.27634650180685755	-0.852524976681047	0.39392278239762757	weaker_positive_coupling_in_recall	0.7878455647952551	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG	nAb	IgG__nAb	high	True	20	0.5879349735318492	0.0064040909051318	0.0384245454307912	60	0.3961090739829362	0.0017307022390706	0.0103842134344237	-0.191825899548913	-0.2554788531246609	0.27634650180685755	-0.9244873789038178	0.3552326196448884	weaker_positive_coupling_in_recall	0.6768768206571586	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG1	nAb	IgG1__nAb	high	True	20	0.5299802939100327	0.0162366136786164	0.0487098410358492	60	0.3509592221441028	0.005970831232812	0.0179124936984361	-0.17902107176592985	-0.2235804526719687	0.27634650180685755	-0.8090583785577724	0.41848156753082355	weaker_positive_coupling_in_recall	0.6768768206571586	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG3	nAb	IgG3__nAb	high	True	20	-0.0038128078698563	0.9872715470045914	0.9872715470045914	60	0.1952836582337577	0.1348418352866738	0.1618102023440085	0.199096466103614	0.2016373074761156	0.27634650180685755	0.7296539169402722	0.46560175626064515	emerges_or_reverses_positive_in_recall	0.6768768206571586	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR2A	nAb	FcgR2A__nAb	high	True	20	0.1517497532202827	0.5230419068962675	0.932935425963784	60	0.0377514649020027	0.7745929961251808	0.7745929961251808	-0.11399828831827999	-0.11516153310204086	0.27634650180685755	-0.4167287530295168	0.6768768206571586	weaker_positive_coupling_in_recall	0.6768768206571586	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR2B	nAb	FcgR2B__nAb	high	True	20	-0.0404157634204773	0.8656588739550608	0.9872715470045914	60	0.2105305240883669	0.1063949138939691	0.1595923708409537	0.2509462875088442	0.25416420138944484	0.27634650180685755	0.9197301204380136	0.3577138084018683	emerges_or_reverses_positive_in_recall	0.6768768206571586	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR3A	nAb	FcgR3A__nAb	high	True	20	0.1174344823915755	0.6219569506425227	0.932935425963784	60	0.2400678103380709	0.064666082520462	0.129332165040924	0.1226333279464954	0.12686723431046232	0.27634650180685755	0.45908753496409954	0.6461713075658981	stronger_positive_coupling_in_recall	0.6768768206571586	False
function_function	raw_functions	HPV16	ADCP	nAb	ADCP__nAb	moderate	True	20	0.0030396856884326	0.9898523491555824	0.9898523491555824	60	0.7676879889198578	8.300430333602336e-13	8.300430333602336e-13	0.7646483032314252	1.0116335085953612	0.27634650180685755	3.660742951261985	0.0002514849631900081	stronger_positive_coupling_in_recall	0.0002514849631900081	True
function_function	raw_functions	HPV18	ADCP	nAb	ADCP__nAb	high	True	20	0.1715763541435357	0.4694976230943902	0.4694976230943902	60	0.5536412673146913	4.467183548854481e-06	4.467183548854481e-06	0.38206491317115565	0.4503264691893357	0.27634650180685755	1.6295718101909435	0.10319202633747906	stronger_positive_coupling_in_recall	0.10319202633747906	False
