previous_4vHPV_doses	visit	prior_4vHPV_exposure_status	immunization_context	response_type	antigen_target	antigen_class	feature	assay_family	outcome_family	floor_severity	minimum_fraction	participants	observations	mean_log2_value	sd_log2_value	se_log2_value	ci95_lower_log2	ci95_upper_log2	geometric_mean	geometric_mean_ci95_lower	geometric_mean_ci95_upper	raw_median	raw_q1	raw_q3	raw_minimum	raw_maximum
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	10.283820592581439	1.0307990561845486	0.23049367607712756	9.801391784163025	10.766249400999852	1246.6325675479577	892.3041776244515	1741.6625377778876	1014.25	776.4749999999999	2311.7	353.0	4356.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	0.0375	20	20	8.033152609027058	1.004614596320019	0.22463865285600726	7.562978505049567	8.503326713004547	261.9509000881103	189.09645473843375	362.8744608241695	280.0	210.97500000000002	395.25	53.0	1250.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	0.3875	20	20	5.4486593252188715	4.3012340990541675	0.9617851832625182	3.4356198014769617	7.461698848960781	43.67268498443095	10.81993405718444	176.27680572442026	139.89999999999964	1.0	716.625	1.0	1247.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	20	20	7.0929037468844935	1.0139203584487866	0.226719484526244	6.618374412168023	7.5674330816009645	136.51387176806674	98.24924474876458	189.68122587367276	127.5	98.2	156.3	54.0	1278.3
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	0.5	20	20	2.1496442092921044	2.8506935068577444	0.6374344464351179	0.8154785797949871	3.483809838789222	4.437183475877857	1.7598818540073329	11.1874539496908	1.0	1.0	16.575	1.0	449.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	0.0625	20	20	5.571569204421809	2.673580988570123	0.5978308833793883	4.320294785040608	6.822843623803009	47.556452799157405	19.977370329909494	113.2089041495349	57.85	27.0	113.175	1.0	1086.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	20	20	0.8784129935933237	1.7187930356965715	0.3843338067070756	0.07399309123311859	1.6828328959535288	1.8383519480950823	1.0526261138895556	3.2105776595046307	1.0	1.0	1.5	1.0	54.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	0.175	20	20	4.372307734110745	4.74800614082951	1.0616864488481224	2.150172458432337	6.594443009789153	20.710747707286014	4.438808467621639	96.63293059920672	7.399999999999998	1.0	1158.375	1.0	1879.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	0.1875	20	20	5.022520064289122	2.058218340938997	0.4602316122876436	4.059244229171986	5.9857958994062574	32.50342998827671	16.670716756929796	63.37297768337667	50.05	20.900000000000002	60.3	1.0	288.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	0.325	20	20	2.4098996951814797	1.833014676824201	0.40987454211337215	1.5520224192486192	3.2677769711143405	5.314373756380033	2.9322790811691055	9.63160996641577	4.4	2.5	14.625	1.0	86.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV52	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	8.082253901803316	2.38732629486773	0.5338223879796952	6.9649508029801535	9.199557000626479	271.0196980052973	124.9278051716688	587.9529909770637	182.15	126.97500000000001	258.85	63.3	32700.7
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV52	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	10.534217453918286	0.7894328471014173	0.17652255097899666	10.164751508573737	10.903683399262835	1482.9121874235916	1147.8763353543552	1915.736467317771	1541.25	1008.95	2027.625	442.5	3558.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV52	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	moderate	0.175	20	20	7.665006316076185	2.3620001473979	0.5281592892446227	6.559556219128018	8.770456413024352	202.95362749526154	94.32421080137003	436.6871937070806	216.3	120.225	460.4	1.0	2758.7
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV52	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	2.3173503215060163	3.465179027953258	0.7748375860710128	0.6955966155997535	3.939104027412279	4.984159790779798	1.6195540489300846	15.338696992815542	1.0	1.0	49.25	0.5	695.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV52	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	20	20	7.452937880983671	2.5964145847439117	0.5805759509259275	6.237778450284754	8.668097311682589	175.20958380547745	75.46723177160031	406.7778496261339	121.3	64.875	177.39999999999998	26.8	29402.8
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV52	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	0.4125	20	20	2.124315226634139	2.6522689488285973	0.5930653664192654	0.883015148882166	3.3656153043861123	4.359960989515195	1.8442256008392421	10.30744818933425	1.0	1.0	16.474999999999998	1.0	273.5
