analysis_layer	predictor_representation	antigen_target	predictor_feature	functional_outcome	feature_pair	pair_maximum_floor_severity	floor_sensitive_pair	recall_dose1_rho	recall_dose1_participants	recall_dose1_q_value	recall_dose2_rho	recall_dose2_participants	recall_dose2_q_value	recall_dose3_rho	recall_dose3_participants	recall_dose3_q_value	weighted_fisher_z_mean	heterogeneity_q	degrees_of_freedom	p_value	i_squared_percent	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV18	FcgR2A	nAb	FcgR2A__nAb	high	True	0.0628566058351621	20	0.7923477373069575	0.1357645122255034	21	0.6688197569344516	0.1704128631987357	19	0.4854823039805273	0.1231840468708645	0.10321492718379141	2	0.9497015861345499	0.0	0.9813658333241319	False
predictor_function	raw_predictor	HPV18	FcgR2B	ADCP	FcgR2B__ADCP	none	False	0.1684210526315789	20	0.5733944109557166	0.2714285714285714	21	0.2807691259816571	0.375438596491228	19	0.1358370960816813	0.2787808414557353	0.41615714545192317	2	0.8121432218981042	0.0	0.8121432218981042	False
predictor_function	raw_predictor	HPV18	FcgR2B	nAb	FcgR2B__nAb	high	True	0.3945577306038488	20	0.1441352223333991	0.0863356849589366	21	0.70981127278872	0.2803566459075975	19	0.2939979409084921	0.2599843197394247	0.9741571468200342	2	0.6144187540712518	0.0	0.9813658333241319	False
predictor_function	raw_predictor	HPV18	FcgR3A	ADCP	FcgR3A__ADCP	low	False	0.2977443609022556	20	0.4046399720379484	0.5142857142857142	21	0.0286934267021286	0.5596491228070175	19	0.0381496699932874	0.501384072167522	0.9975588439411531	2	0.60727142970187	0.0	0.728725715642244	False
predictor_function	raw_predictor	HPV18	FcgR3A	nAb	FcgR3A__nAb	high	True	0.3741104009948202	20	0.1441352223333991	0.4290422206737997	21	0.1045684420727015	0.4049595996443076	19	0.1708939265094167	0.42773280018159426	0.03761994030545998	2	0.9813658333241319	0.0	0.9813658333241319	False
predictor_function	raw_predictor	HPV18	IgG	ADCP	IgG__ADCP	none	False	0.5097744360902255	20	0.0797359422163714	0.6922077922077923	21	0.0015212049428416	0.5035087719298245	19	0.0559320299196161	0.6620476941581565	1.006244576782184	2	0.6046398494385314	0.0	0.728725715642244	False
predictor_function	raw_predictor	HPV18	IgG	nAb	IgG__nAb	high	True	0.504367463689373	20	0.0700304605812461	0.4474956495199846	21	0.1045684420727015	0.4214511670506369	19	0.1708939265094167	0.4960183440407906	0.09788469022254129	2	0.9522360291781843	0.0	0.9813658333241319	False
predictor_function	raw_predictor	HPV18	IgG1	ADCP	IgG1__ADCP	none	False	0.4947368421052631	20	0.0797359422163714	0.7753246753246753	21	0.00021906648045	0.6754385964912282	19	0.009033074274687	0.8030177588264397	2.1169666837696983	2	0.3469816640156659	5.525201915857026	0.728725715642244	False
predictor_function	raw_predictor	HPV18	IgG1	nAb	IgG1__nAb	high	True	0.5967591011820209	20	0.0328497977242966	0.5292179772673751	21	0.0817604274889975	0.4104567887797506	19	0.1708939265094167	0.574103761725531	0.5293911356798495	2	0.7674395476959546	0.0	0.9813658333241319	False
predictor_function	raw_predictor	HPV18	IgG3	ADCP	IgG3__ADCP	none	False	0.0135338345864661	20	0.9548397533571388	0.1974025974025974	21	0.391054752943288	0.3894736842105262	19	0.1358370960816813	0.20410728290077626	1.3037663435281528	2	0.5210635999887075	0.0	0.728725715642244	False
predictor_function	raw_predictor	HPV18	IgG3	nAb	IgG3__nAb	high	True	0.3589642309140582	20	0.1441352223333991	0.168058012706327	21	0.6688197569344516	0.3527363028575983	19	0.2078064328313401	0.30074318870779404	0.4783583218059071	2	0.7872738210480775	0.0	0.9813658333241319	False
