antigen_target	antigen_class	feature	assay_family	outcome_family	primary_participants	recall_participants	primary_mean_log2_change	recall_mean_log2_change	primary_geometric_mean_ratio	recall_geometric_mean_ratio	primary_minus_recall_log2_change	difference_standard_error	ci95_lower_primary_minus_recall	ci95_upper_primary_minus_recall	ratio_of_geometric_mean_ratios	ratio_ci95_lower	ratio_ci95_upper	maximum_floor_severity
HPV45	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	20	60	1.167879910523734	3.9727844919903177	2.2468127742985695	15.700999450496079	-2.804904581466584	0.5545628597903698	-3.945592675483041	-1.6642164874501266	0.1430999842642234	0.06490202599045818	0.3155156589323049	none
HPV45	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	20	60	0.5097683869783175	0.586860944440761	1.4238215942050627	1.5019751506337902	-0.07709255746244348	0.2845075411053846	-0.6502971611760352	0.49611204625114824	0.9479661455146252	0.6371490624526515	1.4104074948845058	none
HPV45	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	20	60	1.3073489819575481	1.827920196289631	2.474863544218852	3.550248959080181	-0.5205712143320829	0.498100185931502	-1.5183864984354747	0.47724406977130907	0.6970957734919113	0.3490761029960263	1.3920818791363034	none
HPV45	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	20	60	-1.4188406596585104	0.17042278548403347	0.3740127456365753	1.125388234279539	-1.5892634451425438	1.5160598912642753	-4.682312430864507	1.5037855405794198	0.33234108394247974	0.03894785183862773	2.835858484151868	high
HPV45	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	20	60	1.1725152600167807	3.943499132150335	2.254043347150666	15.385496885315966	-2.7709838721335545	0.4484442752185505	-3.685964138385007	-1.856003605882102	0.1465044232209323	0.07769878567052474	0.27624043076184535	none
HPV45	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	60	-0.40772121500451936	1.9256052260460763	0.7538131068221844	3.7989618548118194	-2.3333264410505956	0.7467549816755079	-3.8504651957084883	-0.8161876863927031	0.19842607944783494	0.06932573437961206	0.5679407417372797	high
HPV45	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	60	0.4596471759649523	2.3224780506487357	1.3752054581603037	5.001906364757453	-1.8628308746837834	0.7556030647086639	-3.4016416436963763	-0.32402010567119044	0.27493626587050046	0.09462455078033628	0.7988407835751936	low
HPV45	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	60	0.20635147071500853	1.0165122676378067	1.1537666525349524	2.023022362632906	-0.8101607969227982	0.42770575797244875	-1.6665459167013332	0.046224322855736966	0.5703182890343128	0.315006626636906	1.0325590743268458	none
HPV45	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	-2.1522782051032046	3.199990120511359	0.22495709819487167	9.189523910455229	-5.352268325614563	1.3825655632909275	-8.192058895316325	-2.512477755912801	0.024479733704042106	0.0034193577899071645	0.17525436033328498	moderate
HPV45	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	0.9364258095148028	4.326916386666022	1.9137810827655912	20.06927209693779	-3.390490577151219	0.5421085042320123	-4.479045455399535	-2.301935698902903	0.09535876904362663	0.044840760123726724	0.20279082710518462	moderate
HPV45	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	1.279967226680486	5.408295209470918	2.428334604332203	42.46773351113358	-4.128327982790432	0.6112734445917019	-5.357294731801078	-2.8993612337797856	0.05718069705075211	0.02439459375192957	0.13403101311950602	high
HPV52	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	20	60	0.5977975761374935	3.7384975343120366	1.5134044330078131	13.347498986210582	-3.140699958174543	0.6028525021795892	-4.38089415281172	-1.9005057635373654	0.11338486967268735	0.047997592271009186	0.2678494495745252	none
HPV52	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	20	60	0.1728144156751016	0.1693819485635729	1.1272553957824494	1.1245766121716174	0.0034324671115287253	0.2683570010368982	-0.54175748923511	0.5486224234581676	1.002382037454664	0.6869335775585518	1.4626883614902642	none
HPV52	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	20	60	1.0713536639138435	1.21649187287542	2.101404165508292	2.3238096091444733	-0.14513820896157648	0.5001091287920943	-1.145790229278054	0.855513811354901	0.9042927429334191	0.4519420718724749	1.8094030536568215	moderate
HPV52	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	20	60	3.571645274820687	0.1166078843391319	11.889740105269754	1.0841826945894202	3.455037390481555	0.8294909665186878	1.7699655229541535	5.140109258008956	10.966546657316272	3.410458064106414	35.263634188273116	high
HPV52	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	20	60	0.520554669309383	3.460063550015714	1.4345066631529726	11.004819291385282	-2.939508880706331	0.5317612917457588	-4.028562903100395	-1.8504548583122669	0.13035258691398263	0.06127477521770312	0.2773049244945779	none
HPV52	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	60	-0.1840817662334134	2.402328189180908	0.8802091253869778	5.286556089639533	-2.5864099554143216	0.6683915567523457	-3.936089363247567	-1.2367305475810761	0.16649953399945772	0.06533095941483874	0.42433319624171956	high
HPV52	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	60	-0.16576884987306478	4.6199590225806455	0.89145331404925	24.589304471264334	-4.785727872453711	1.00578999163504	-6.836198289036025	-2.7352574558713965	0.036253701892667356	0.00875183777012971	0.15017770386560914	low
HPV52	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	60	0.04322578219433654	1.2964950062706275	1.0304152012813816	2.45631401456817	-1.253269224076291	0.3289129238146576	-1.9083643261037062	-0.5981741220488759	0.4194965282004193	0.266394402514205	0.6605894700164413	none
HPV52	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	-1.171386602299029	3.7810990914334326	0.443994403779635	13.747516294165596	-4.952485693732461	1.337947224087762	-7.694404875326672	-2.2105665121382496	0.03229633588199965	0.004827845170103719	0.2160494536697269	high
HPV52	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	0.7677191859783923	4.278274041417576	1.7025759845790296	19.40389054406052	-3.5105548554391834	1.0205795217967213	-5.596613537563248	-1.4244961733151191	0.0877440521895844	0.020665763312508103	0.37254944703584336	high
HPV52	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	0.3772928197263262	4.873604518393282	1.29890221047992	29.315759288042504	-4.496311698666956	0.7011064331694591	-5.913487024750282	-3.07913637258363	0.04430730235289265	0.01659063567953409	0.11832801826950712	moderate
HPV58	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	20	60	0.7339207789043733	3.3787314558918577	1.6631528673931657	10.4015848350251	-2.6448106769874844	0.37580625809378976	-3.4048212915706197	-1.884800062404349	0.1598941789901916	0.09441623132936662	0.270781285325413	none
