analysis_layer	predictor_representation	antigen_target	analysis_stratum	predictor_feature	functional_outcome	feature_pair	participants	spearman_rho	spearman_p_value	correlation_status	correlation_direction	correlation_strength	predictor_floor_severity	outcome_floor_severity	pair_maximum_floor_severity	floor_sensitive_pair	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV18	recall_all_doses	IgG1	nAb	IgG1__nAb	60	0.5510813691730502	5.047939457195796e-06	estimated	positive	moderate	none	high	high	True	3.0287636743174775e-05	True
predictor_function	raw_predictor	HPV18	recall_all_doses	IgG3	nAb	IgG3__nAb	60	0.3286234075895647	0.01035960973254434	estimated	positive	weak	none	high	high	True	0.01553941459881651	True
predictor_function	raw_predictor	HPV18	recall_all_doses	FcgR2A	nAb	FcgR2A__nAb	60	0.15744780108532733	0.22958021008094914	estimated	positive	very_weak	low	high	high	True	0.22958021008094914	False
predictor_function	raw_predictor	HPV18	recall_all_doses	FcgR2B	nAb	FcgR2B__nAb	60	0.2677203364175559	0.038635766799490816	estimated	positive	weak	none	high	high	True	0.046362920159388976	True
predictor_function	raw_predictor	HPV18	recall_all_doses	FcgR3A	nAb	FcgR3A__nAb	60	0.34794923202151395	0.0064457549338903	estimated	positive	weak	low	high	high	True	0.0128915098677806	True
predictor_function	raw_predictor	HPV18	recall_dose1	IgG	ADCP	IgG__ADCP	20	0.5097744360902255	0.02166896662153532	estimated	positive	moderate	none	none	none	False	0.07973594221637142	False
predictor_function	raw_predictor	HPV18	recall_dose1	IgG1	ADCP	IgG1__ADCP	20	0.4947368421052631	0.02657864740545714	estimated	positive	moderate	none	none	none	False	0.07973594221637142	False
predictor_function	raw_predictor	HPV18	recall_dose1	IgG3	ADCP	IgG3__ADCP	20	0.013533834586466165	0.9548397533571387	estimated	positive	very_weak	none	none	none	False	0.9548397533571387	False
predictor_function	raw_predictor	HPV18	recall_dose1	FcgR2A	ADCP	FcgR2A__ADCP	20	0.2571428571428572	0.27375050350001584	estimated	positive	weak	low	none	low	False	0.41062575525002376	False
predictor_function	raw_predictor	HPV18	recall_dose1	FcgR2B	ADCP	FcgR2B__ADCP	20	0.16842105263157892	0.4778286757964305	estimated	positive	very_weak	none	none	none	False	0.5733944109557166	False
predictor_function	raw_predictor	HPV18	recall_dose1	FcgR3A	ADCP	FcgR3A__ADCP	20	0.29774436090225564	0.20231998601897422	estimated	positive	weak	low	none	low	False	0.40463997203794844	False
predictor_function	raw_predictor	HPV18	recall_dose1	IgG	nAb	IgG__nAb	20	0.504367463689373	0.023343486860415395	estimated	positive	moderate	none	high	high	True	0.07003046058124619	False
