antigen_target	antigen_class	visit	feature	assay_family	observations	unique_participants	minimum	minimum_count	minimum_fraction	zero_count	zero_fraction	q1	median	mean	q3	maximum	standard_deviation	skewness	unique_values	possible_lower_bound_accumulation	discrete_titer_or_ordinal_assay
HPV31	cross_reactive_non_booster_target	v2	IgG4	antibody_isotype_or_subclass	80	80	1.0	36	0.45	0	0.0	1.0	2.25	25.830000000000002	15.0	805.5	96.33986569182555	7.213235112302432	38	yes	no
HPV31	cross_reactive_non_booster_target	v1	IgM	antibody_isotype_or_subclass	80	80	73.7	1	0.0125	0	0.0	273.425	413.6	681.03375	721.75	8099.8	1003.304205536147	5.5296943781542005	80	no	no
HPV31	cross_reactive_non_booster_target	v2	IgM	antibody_isotype_or_subclass	80	80	92.7	1	0.0125	0	0.0	458.825	1090.1	2366.9137500000006	2877.55	31680.2	3980.210939380028	5.463783743231868	80	no	no
HPV33	cross_reactive_non_booster_target	v1	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	23	0.2875	0	0.0	1.0	8.875	57.484375	43.375	831.5	120.04791253246304	4.042903267921382	52	yes	no
HPV33	cross_reactive_non_booster_target	v2	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	5	0.0625	0	0.0	10.45	52.55	167.954375	284.0	1276.75	241.01360290326883	2.2049020520171396	72	yes	no
HPV33	cross_reactive_non_booster_target	v1	FcgR2B	fc_gamma_receptor_binding	80	80	1.0	2	0.025	0	0.0	33.625	76.9	87.2925	113.45	532.0	80.20792406164418	2.6125321069468126	74	no	no
HPV33	cross_reactive_non_booster_target	v2	FcgR2B	fc_gamma_receptor_binding	80	80	6.5	1	0.0125	0	0.0	70.875	157.75	255.07	357.575	1830.0	280.1826395294164	2.8062801974525544	77	no	no
HPV33	cross_reactive_non_booster_target	v1	FcgR3A	fc_gamma_receptor_binding	80	80	1.0	33	0.4125	0	0.0	1.0	11.5	18.55125	26.0	175.0	27.812209293033405	3.3739529524706917	41	yes	no
HPV33	cross_reactive_non_booster_target	v2	FcgR3A	fc_gamma_receptor_binding	80	80	1.0	13	0.1625	0	0.0	19.25	55.5	111.66750000000002	148.175	763.0	142.62985713226252	2.1817620987092385	65	yes	no
HPV33	cross_reactive_non_booster_target	v1	IgA1	antibody_isotype_or_subclass	80	80	1.0	3	0.0375	0	0.0	107.25	174.25	311.855	359.6	3219.5	425.8214836337531	4.442901478034792	78	no	no
