matrix_type	mechanistic_axis	analysis_stratum	metric	participants	mean	standard_deviation	median	first_quartile	third_quartile	minimum	maximum
bpv_calibrated_log2_change	global_shared_serology	recall_dose1	positive_antigen_fraction	20	0.9400000000000001	0.13138933706635725	1.0	1.0	1.0	0.6	1.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose1	twofold_antigen_fraction	20	0.78	0.3036618618064993	0.8	0.8	1.0	0.0	1.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose2	mean_cross_reactive_score	21	1.6857456706273115	0.9356925809054992	1.6584663633124106	1.2443481994619208	2.308896386727896	-0.1042100828867258	3.3369612263767
bpv_calibrated_log2_change	global_shared_serology	recall_dose2	median_cross_reactive_score	21	1.648387781261589	0.9581920508755408	1.699234743334032	1.2136999704746658	1.9377121273815172	-0.05585509814166892	3.7542994005910946
bpv_calibrated_log2_change	global_shared_serology	recall_dose2	minimum_cross_reactive_score	21	0.5692466883288995	0.8422689739171554	0.5178553150568537	0.1679649886002189	1.028977154011556	-0.6325243683487922	2.168534659703463
bpv_calibrated_log2_change	global_shared_serology	recall_dose2	positive_antigen_count	21	4.523809523809524	1.0304876330673562	5.0	5.0	5.0	1.0	5.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose2	twofold_antigen_count	21	3.5238095238095237	1.6917165134574887	4.0	3.0	5.0	0.0	5.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose2	positive_antigen_fraction	21	0.9047619047619045	0.20609752661347122	1.0	1.0	1.0	0.2	1.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose2	twofold_antigen_fraction	21	0.7047619047619048	0.33834330269149776	0.8	0.6	1.0	0.0	1.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose3	mean_cross_reactive_score	19	1.5657093722244364	0.9356815320919899	1.4278409922112414	0.9696563371492747	1.9879170841927567	-0.06803468414850242	4.32558516505166
bpv_calibrated_log2_change	global_shared_serology	recall_dose3	median_cross_reactive_score	19	1.5283545899634234	0.8618585846507497	1.4737961976585197	0.8840366630841718	1.8430605770711588	0.2602684961470809	4.028281703054694
bpv_calibrated_log2_change	global_shared_serology	recall_dose3	minimum_cross_reactive_score	19	0.46587084584772187	0.9493074299343833	0.5353104847094635	-0.28615765981035335	1.0546743238359677	-1.2894783354400348	2.8810002231841865
bpv_calibrated_log2_change	global_shared_serology	recall_dose3	positive_antigen_count	19	4.526315789473684	0.7723284457212329	5.0	4.0	5.0	3.0	5.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose3	twofold_antigen_count	19	3.210526315789474	1.5839103288458478	3.0	2.0	4.5	0.0	5.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose3	positive_antigen_fraction	19	0.905263157894737	0.1544656891442466	1.0	0.8	1.0	0.6	1.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose3	twofold_antigen_fraction	19	0.6421052631578947	0.31678206576916956	0.6	0.4	0.9	0.0	1.0
